Leaf,SD1,SD2,SD3,SD4,SD5,GCL1,GCL2,GCL3,GCL4,GCL5,GCL6,GCL7,GCL8,GCL9,GCL10,Data collected by
AFR01-01-01,0.00050278,0.00025139,0.00037708,0.00044891,0.00028730,19.33870968,18.61950147,18.53958944,14.54398827,19.09897361,16.86143695,16.54178886,18.85923754,17.90029326,18.29985337,Huang Jie
AFR01-01-02,0.00039504,0.00034117,0.00041299,0.00043095,0.00043095,10.62829912,19.01906158,15.98240469,21.25659824,18.69941349,16.06231672,16.46187683,17.18108504,15.66275660,17.90029326,Huang Jie
AFR01-01-03,0.00052073,0.00044891,0.00037708,0.00035913,0.00050278,14.22434018,13.18548387,13.26539589,15.90249267,15.42302053,18.77932551,15.58284457,18.77932551,16.78152493,22.29545455,Huang Jie
AFR01-01-04,0.00043095,0.00041299,0.00043095,0.00044891,0.00039504,23.33431085,24.21334311,19.57844575,20.29765396,23.25439883,23.09457478,23.33431085,17.98020528,17.90029326,18.61950147,Huang Jie
AFR01-01-05,0.00037708,0.00043095,0.00041299,0.00039504,0.00032321,19.09897361,17.10117302,14.94354839,19.25879765,20.13782991,18.85923754,16.62170088,18.14002933,18.69941349,18.14002933,Huang Jie
AFR01-02-01,0.00050278,0.00041299,0.00037708,0.00039504,0.00035913,21.65615836,17.34090909,23.25439883,17.74046921,15.42302053,19.17888563,18.77932551,17.74046921,17.66055718,16.94134897,Huang Jie
AFR01-02-02,0.00025139,0.00032321,0.00028730,0.00035913,0.00035913,21.25659824,21.81598240,19.81818182,20.69721408,18.21994135,18.21994135,18.14002933,16.62170088,18.37976540,17.18108504,Huang Jie
AFR01-02-03,0.00039504,0.00057460,0.00043095,0.00037708,0.00039504,24.37316716,23.57404692,23.25439883,18.14002933,20.45747801,18.61950147,15.74266862,21.01686217,16.14222874,23.01466276,Huang Jie
AFR01-02-04,0.00039504,0.00035913,0.00035913,0.00037708,0.00028730,22.53519062,19.81818182,15.10337243,16.62170088,14.62390029,22.13563050,19.25879765,20.13782991,19.73826979,21.41642229,Huang Jie
AFR01-02-05,0.00035913,0.00041299,0.00048482,0.00044891,0.00035913,27.80938416,17.02126100,17.58064516,22.29545455,16.14222874,19.49853372,17.34090909,18.29985337,17.58064516,13.42521994,Huang Jie
AFR02-01-01,0.00032107,,,,,18.42000000,18.49500000,17.12500000,21.30700000,24.31100000,,,,,,Hong Jhun
AFR02-01-02,0.00034437,,,,,23.99500000,19.63600000,23.02900000,22.76400000,20.72200000,,,,,,Hong Jhun
AFR02-01-03,0.00037544,,,,,26.01900000,18.08400000,19.70700000,19.99600000,16.60000000,,,,,,Hong Jhun
AFR02-01-04,0.00035473,,,,,24.93800000,23.11000000,20.48900000,19.96700000,22.23700000,,,,,,Hong Jhun
AFR02-01-05,0.00030812,,,,,18.56700000,20.07400000,19.51100000,18.43900000,19.04100000,,,,,,Hong Jhun
AFR02-02-01,,,,,,,,,,,,,,,,
AFR02-02-02,,,,,,,,,,,,,,,,
AFR02-02-03,,,,,,,,,,,,,,,,
AFR02-02-04,,,,,,,,,,,,,,,,
AFR02-02-05,,,,,,,,,,,,,,,,
AFR03-01-01,0.00047901,,,,,23.29100000,18.47800000,20.92900000,19.47800000,17.23900000,,,,,,Hong Jhun
AFR03-01-02,0.00047642,,,,,23.99500000,21.24900000,17.93900000,17.20700000,18.03900000,,,,,,Hong Jhun
AFR03-01-03,0.00050749,,,,,24.26900000,19.95400000,24.02900000,19.62600000,20.35400000,,,,,,Hong Jhun
AFR03-01-04,0.00038062,,,,,20.37900000,18.79000000,20.03800000,18.80500000,16.96700000,,,,,,Hong Jhun
AFR03-01-05,0.00042723,,,,,19.28200000,17.16800000,19.30300000,17.42700000,22.61600000,,,,,,Hong Jhun
AFR03-02-01,,,,,,,,,,,,,,,,
AFR03-02-02,,,,,,,,,,,,,,,,
AFR03-02-03,,,,,,,,,,,,,,,,
AFR03-02-04,,,,,,,,,,,,,,,,
AFR03-02-05,,,,,,,,,,,,,,,,
AFR04-01-01,,,,,,,,,,,,,,,,
AFR04-01-02,,,,,,,,,,,,,,,,
AFR04-01-03,,,,,,,,,,,,,,,,
AFR04-01-04,,,,,,,,,,,,,,,,
AFR04-01-05,,,,,,,,,,,,,,,,
AFR04-02-01,,,,,,,,,,,,,,,,
AFR04-02-02,,,,,,,,,,,,,,,,
AFR04-02-03,,,,,,,,,,,,,,,,
AFR04-02-04,,,,,,,,,,,,,,,,
AFR04-02-05,,,,,,,,,,,,,,,,
AFR05-01-01,,,,,,,,,,,,,,,,
AFR05-01-02,,,,,,,,,,,,,,,,
AFR05-01-03,,,,,,,,,,,,,,,,
AFR05-01-04,,,,,,,,,,,,,,,,
AFR05-01-05,,,,,,,,,,,,,,,,
AFR05-02-01,,,,,,,,,,,,,,,,
AFR05-02-02,,,,,,,,,,,,,,,,
AFR05-02-03,,,,,,,,,,,,,,,,
AFR05-02-04,,,,,,,,,,,,,,,,
AFR05-02-05,,,,,,,,,,,,,,,,
ASY01-01-01,0.00023821,,,,,21.24400000,30.71000000,23.01500000,28.06200000,26.16600000,,,,,,Hong Jhun
ASY01-01-02,0.00024857,,,,,29.42900000,24.29600000,31.10300000,26.15300000,24.54300000,,,,,,Hong Jhun
ASY01-01-03,0.00022009,,,,,27.36600000,25.91300000,30.05500000,24.88700000,22.60300000,,,,,,Hong Jhun
ASY01-01-04,0.00019937,,,,,25.23200000,23.87200000,23.82700000,20.54400000,21.89800000,,,,,,Hong Jhun
ASY01-01-05,0.00022009,,,,,25.50300000,30.19900000,27.82000000,26.29600000,27.25500000,,,,,,Hong Jhun
ASY01-02-01,,,,,,,,,,,,,,,,
ASY01-02-02,,,,,,,,,,,,,,,,
ASY01-02-03,,,,,,,,,,,,,,,,
ASY01-02-04,,,,,,,,,,,,,,,,
ASY01-02-05,,,,,,,,,,,,,,,,
ASY02-01-01,0.00019678,,,,,26.17300000,22.67900000,23.75100000,23.72600000,22.02800000,,,,,,Hong Jhun
ASY02-01-02,0.00017348,,,,,23.97000000,25.16800000,24.96700000,21.65000000,27.92300000,,,,,,Hong Jhun
ASY02-01-03,0.00017866,,,,,25.98900000,21.23800000,21.58700000,22.99800000,23.40800000,,,,,,Hong Jhun
