Leaf,TL1,TL2,TL3,Data collected by,Area
CSQ02-01-02,38803.36077,39512.94704,39015.84101,Huang Jie,4259464
CSQ02-01-03,38915.06999,39313.26681,39757.77641,Huang Jie,4259464
CSQ02-01-04,37185.67165,38065.61447,38840.36445,Huang Jie,4259464
CSQ02-01-05,38042.34172,37809.61418,38458.92401,Huang Jie,4259464
CSQ02-02-01,37572.85326,38343.61961,39614.73859,Huang Jie,4259464
CSQ02-02-02,38345.71314,36526.43937,38675.0945,Huang Jie,4259464
CSQ02-02-03,37311.51148,38312.21673,39624.50837,Huang Jie,4259464
CSQ02-02-04,39583.3357,40033.44371,38358.62321,Huang Jie,4259464
CSQ02-02-05,38692.54055,40601.487,39649.63068,Huang Jie,4259464
CSQ04-01-01,41199.53748,39938.53722,40946.91872,Huang Jie,4259464
CSQ04-01-02,37108.78842,37496.43958,38218.357,Huang Jie,4259464
CSQ04-01-03,38966.79241,36376.05445,38217.31023,Huang Jie,4259464
CSQ04-01-04,35754.97518,36436.41777,38116.821,Huang Jie,4259464
CSQ04-01-05,36336.27746,36784.64087,38668.11608,Huang Jie,4259464
CSQ04-02-01,38579.14125,39574.61268,38064.48286,Huang Jie,4259464
CSQ04-02-02,30863.7095,28366.31028,30226.22223,Huang Jie,4259464
CSQ04-02-03,41246.29289,41138.47632,40071.82501,Huang Jie,4259464
CSQ04-02-04,34519.79506,36523.29908,36487.70915,Huang Jie,4259464
CSQ04-02-05,36250.44291,37242.77406,38158.69152,Huang Jie,4259464
CSQ05-01-01,32502.68313,33038.62569,37206.8352,Huang Jie,4259464
CSQ05-01-02,33656.21575,32774.84146,33109.80556,Huang Jie,4259464
CSQ05-01-03,36802.08691,34854.75916,32806.94218,Huang Jie,4259464
CSQ05-01-04,32665.6292,31086.76196,32273.09315,Huang Jie,4259464
CSQ05-01-05,37454.91799,36124.48245,34665.99294,Huang Jie,4259464
CSQ05-02-01,37593.64302,38063.98538,39062.61925,Huang Jie,4259464
CSQ05-02-02,34758.55614,35731.82271,36521.93271,Huang Jie,4259464
CSQ05-02-03,35540.28795,37085.83153,37458.19559,Huang Jie,4259464
CSQ05-02-04,37276.43539,38144.74183,36978.77686,Huang Jie,4259464
CSQ05-02-05,36101.16131,35686.90629,37223.14078,Huang Jie,4259464
EMA01-01-01,31086.30176,31993.86934,31553.8126,Huang Jie,4259464
EMA01-01-02,30379.66337,32391.58519,31687.0336,Huang Jie,4259464
EMA01-01-03,33141.19284,32997.63873,31616.00515,Huang Jie,4259464
EMA01-01-04,33073.48464,32385.57306,32256.68855,Huang Jie,4259464
EMA01-01-05,31391.77993,31028.51551,32368.01765,Huang Jie,4259464
EMA01-02-01,30363.79778,31288.43827,30789.48133,Huang Jie,4259464
EMA01-02-02,31145.38068,30023.25095,30864.15041,Huang Jie,4259464
EMA01-02-03,30828.21155,31222.14329,31311.46705,Huang Jie,4259464
EMA01-02-04,30345.30497,30652.3554,30483.12874,Huang Jie,4259464
EMA01-02-05,30518.36976,30843.21515,31037.56411,Huang Jie,4259464
EMA02-01-01,29050.11046,29408.45226,29582.21488,Huang Jie,4259464
EMA02-01-02,31640.15057,31173.29436,31919.98516,Huang Jie,4259464
EMA02-01-03,29748.65017,29746.20772,29397.63571,Huang Jie,4259464
EMA02-01-04,29397.28679,30333.44166,29543.83358,Huang Jie,4259464
EMA02-01-05,29537.553,29757.72212,29981.38044,Huang Jie,4259464
EMA02-02-01,29233.64287,29620.59619,29396.93787,Huang Jie,4259464
EMA02-02-02,29761.56025,30081.52075,29667.00267,Huang Jie,4259464
EMA02-02-03,30133.85889,30333.79058,30482.4309,Huang Jie,4259464
EMA02-02-04,30471.96327,30333.79058,30434.62873,Huang Jie,4259464
EMA02-02-05,31550.82681,31240.6361,30576.63955,Huang Jie,4259464
EMA03-01-01,32614.68675,31676.08943,31606.30524,Huang Jie,4259464
EMA03-01-02,34481.41376,34003.39208,32710.29108,Huang Jie,4259464
EMA03-01-03,33787.75894,32413.01045,33101.43146,Huang Jie,4259464
EMA03-01-04,32660.04647,33446.86318,34160.4065,Huang Jie,4259464
EMA03-01-05,31285.29798,32113.63628,32028.84849,Huang Jie,4259464
EMA05-01-01,31998.84195,33075.43955,32329.49348,Huang Jie,4259464
EMA05-01-02,31469.1308,32137.15193,31545.07755,Huang Jie,4259464
EMA05-01-03,34571.97847,32933.6852,33703.39275,Huang Jie,4259464
EMA05-01-04,30460.81547,34089.34035,32614.84072,Huang Jie,4259464
EMA05-01-05,33161.85128,33859.42105,33276.64802,Huang Jie,4259464
EMA05-02-01,21433.59605,21452.81945,21217.43428,Huang Jie,2631214
EMA05-02-02,21606.28214,21769.15375,21735.65476,Huang Jie,2631214
EMA05-02-03,21055.13044,21360.10916,21379.49478,Huang Jie,2631214
EMA05-02-04,21330.26018,21214.83871,21719.35138,Huang Jie,2631214
EMA05-02-05,20858.84095,21039.15151,20965.17794,Huang Jie,2631214
EMA06-02-01,31177.13249,31969.53194,31066.17563,Huang Jie,4259464
EMA06-02-02,34041.07554,32761.93138,33970.24459,Huang Jie,4259464
EMA06-02-03,32020.82331,32481.74787,31656.20093,Huang Jie,4259464
EMA06-02-04,34669.83107,33169.12212,32304.14711,Huang Jie,4259464
EMA06-02-05,30107.68982,31180.6217,31656.54986,Huang Jie,4259464
GAX01-01-01,23726.2748,26578.00562,26438.78616,Huang Jie,4259464
GAX01-01-02,31605.25848,28046.61384,29414.73283,Huang Jie,4259464
GAX01-01-03,26463.55955,28304.46641,30090.59269,Huang Jie,4259464
GAX01-01-04,25777.92991,25128.93696,24855.03403,Huang Jie,4259464
GAX01-01-05,26545.90489,26620.22505,26353.64945,Huang Jie,4259464
GAX01-02-01,26966.0057,26034.3868,26017.63859,Huang Jie,4259464
GAX01-02-02,28200.48797,28724.56722,27684.08499,Huang Jie,4259464
GAX01-02-03,27558.82237,27537.88711,26424.4804,Huang Jie,4259464
GAX01-02-04,27781.43393,26864.46971,27988.34404,Huang Jie,4259464
GAX01-02-05,27830.9807,27523.93028,28518.00603,Huang Jie,4259464
GAX02-01-01,28207.81531,27280.38346,25778.62775,Huang Jie,4259464
GAX02-01-02,29514.1753,27699.43751,28532.31178,Huang Jie,4259464
GAX02-01-03,27726.65334,28904.95935,27648.84397,Huang Jie,4259464
GAX02-01-04,32149.57514,31676.08943,32704.70835,Huang Jie,4259464
GAX02-01-05,29578.72567,30272.72942,28999.86584,Huang Jie,4259464
GAX02-02-01,31649.57144,30646.42374,32006.86648,Huang Jie,4259464
GAX02-02-02,31377.06418,31532.334,30646.42374,Huang Jie,4259464
GAX02-02-03,29808.31565,30677.47771,30091.63945,Huang Jie,4259464
GAX02-02-04,31005.81231,29910.54949,31162.12889,Huang Jie,4259464
GAX02-02-05,31549.78005,31969.18301,31483.48507,Huang Jie,4259464
GAX03-01-01,31866.25134,30611.53165,31016.27994,Huang Jie,4259464
GAX03-01-02,30855.42738,30667.359,29596.86956,Huang Jie,4259464
GAX03-01-03,30698.76188,31354.73324,31472.66852,Huang Jie,4259464
GAX03-01-04,31658.29446,31165.6181,32007.2154,Huang Jie,4259464
GAX03-01-05,30350.53879,31009.30152,30038.95239,Huang Jie,4259464
GAX03-02-01,29123.73277,29980.68259,28870.41617,Huang Jie,4259464
GAX03-02-02,30659.68274,29742.36959,29107.33349,Huang Jie,4259464
GAX03-02-03,29962.53871,29184.44502,30090.94161,Huang Jie,4259464
GAX03-02-04,31341.47425,30628.9777,31358.22245,Huang Jie,4259464
GAX03-02-05,32495.00687,32373.58238,33545.25889,Huang Jie,4259464
GAX04-01-01,26188.95877,27834.81883,28186.18222,Huang Jie,4259464
GAX04-01-02,29254.2292,29964.63223,29212.00977,Huang Jie,4259464
GAX04-01-03,30572.4525,30956.61446,30608.04244,Huang Jie,4259464
GAX04-01-04,28217.93402,28863.43775,28385.41607,Huang Jie,4259464
GAX04-01-05,28719.68233,29393.44866,27711.64974,Huang Jie,4259464
GAX04-02-01,28904.61042,29742.36959,29575.23647,Huang Jie,4259464
GAX04-02-02,27841.44833,28907.40179,29208.17164,Huang Jie,4259464
GAX04-02-03,29931.13582,30258.77258,29933.92719,Huang Jie,4259464
